DatTime,MediaTime,LonAccel,LatAccel,Throttle,Brake,Gear,Heading,HeadwayDistance,HeadwayTime,Lane,LaneOffset,RoadOffset,Steer,Velocity,XPos,YPos,LeadVehPosX,LeadVehPosY,FollowCarBrakingStatus
2.89,3.499996,8e-06,2.85e-05,1.308809,0.0,0,359.999322,91.042603,7836762.9114795,2.0,0.021679,5.421679,-0.0065474999999999995,1.15e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.924,3.53333,2.4e-05,2.85e-05,1.308809,0.0,0,359.999321,91.042603,15157794.647759,2.0,0.021679,5.421679,-0.0069365,6.5000000000000004e-06,-741.042603,14.521677,2.310232,1629.744985,0.0
2.957,3.566663,4.35e-05,2.65e-05,1.308809,0.0,0,359.9993195,91.042603,10000.0,2.0,0.021679,5.421679,-0.0072555,-3.5e-06,-741.042603,14.521677,2.310232,1629.744985,0.0
2.9905,3.599996,5.4999999999999995e-05,2.3500000000000002e-05,1.308809,0.0,0,359.9993175,91.042603,10000.0,2.0,0.021679,5.421679,-0.0073620000000000005,-1.1e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
3.024,3.63333,4.8e-05,2.2e-05,1.308809,1.565012,0,359.9993155,91.042603,10000.0,2.0,0.0216795,5.4216795,-0.00729,-1.15e-05,-741.042603,14.5216775,2.310232,1629.744985,0.0
3.057,3.666663,3.7500000000000003e-05,2.1e-05,1.308809,1.565012,0,359.999315,91.042603,10000.0,2.0,0.02168,5.42168,-0.0072345,-8.000000000000001e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.09,3.699996,1.9999999999999998e-05,1.8500000000000002e-05,1.308809,1.565012,0,359.9993165,91.042603,30019303.7202525,2.0,0.02168,5.42168,-0.0072495,0.0,-741.042603,14.521678,2.310232,1629.744985,0.0
3.1245000000000003,3.73333,7.5e-06,1.3000000000000001e-05,1.308809,28.431067,0,359.99932,91.042603,16859413.862087,2.0,0.02168,5.42168,-0.007511500000000001,5.5e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.157,3.766663,6.5000000000000004e-06,7.000000000000001e-06,1.308809,28.431067,0,359.999321,91.042603,16516758.9520125,2.0,0.02168,5.42168,-0.007685,6e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.1905,3.799996,7e-06,2.4999999999999998e-06,1.308809,28.431067,0,359.99932,91.042603,28829966.347633503,2.0,0.02168,5.42168,-0.0076755,3.5000000000000004e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.224,3.83333,3e-06,-3e-06,1.308809,55.297119,0,359.999317,91.042603,1414817578.226026,2.0,0.02168,5.42168,-0.007556,-5e-07,-741.042603,14.521678,2.310232,1629.744985,0.0
3.257,3.866663,2e-06,-4e-06,1.308809,55.297119,0,359.999316,91.042603,10000.0,2.0,0.02168,5.42168,-0.007535,-1e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.2904999999999998,3.899996,5e-07,-4.5e-06,1.308809,55.297119,0,359.9993155,91.042603,10000.0,2.0,0.02168,5.42168,-0.007466,-1.5e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.3235,3.933329,-1.05e-05,-9e-06,1.308809,55.297119,0,359.9993125,91.042603,10000.0,2.0,0.02168,5.42168,-0.007407,-4e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.3575,3.966663,-1.65e-05,-1.15e-05,1.308809,57.3760415,0,359.999311,91.042603,10000.0,2.0,0.02168,5.42168,-0.0074325,-3.5e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.39,3.999996,-1.6e-05,-1.2e-05,1.308809,59.454964,1,359.999314,91.042603,74128138.7550035,2.0,0.02168,5.42168,-0.007457999999999999,0.0,-741.042603,14.521678,2.310232,1629.744985,0.0
3.4234999999999998,4.033329,-1.0500000000000001e-05,-1.2e-05,1.308809,59.454964,1,359.999318,91.042603,29353329.107176498,2.0,0.02168,5.42168,-0.0074715,3.5e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.4575,4.066663,-2.0000000000000003e-06,-1.1e-05,1.308809,60.574383,1,359.9993215,91.042603,19341632.401506998,2.0,0.02168,5.42168,-0.007523,5e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.4905,4.099996,3.5000000000000004e-06,-1.1e-05,1.308809,61.693802,2,359.9993215,91.042603,22153741.2720205,2.0,0.02168,5.42168,-0.007545,4.5e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.524,4.133329,9e-06,-1.0500000000000001e-05,1.308809,61.693802,2,359.999318,91.042603,70181671.13593051,2.0,0.02168,5.42168,-0.0075595,1.5e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
